Model,Perturbation_Level,Spearman_Rho,Spearman_pvalue,Top_5_Overlap
Autoencoder,0.05,0.37857142857142856,0.16409082655922078,0.6
Autoencoder,0.1,0.15714285714285714,0.5759526006037947,0.4
Autoencoder,0.2,0.11071428571428568,0.6944626472070964,0.4
Autoencoder,0.3,-0.10357142857142855,0.7133796306287292,0.4
One-Class SVM,0.05,0.09285714285714285,0.7420450099073671,0.2
One-Class SVM,0.1,-0.11785714285714284,0.6757115292213043,0.0
One-Class SVM,0.2,-0.0857142857142857,0.7613341261907666,0.0
One-Class SVM,0.3,-0.18928571428571428,0.4992630332385452,0.0
