Model,F1_Score,Mean_Seconds
Isolation Forest,0.2545454545454545,0.0613154571427522
Autoencoder,0.1627408993576017,0.223269128571701
One-Class SVM,0.1181154611811546,0.2168906714281807
Ensemble Majority Vote,0.3388429752066115,0.501475257142634
