Ticker,Perturbation_Level,Spearman_Rho,Spearman_pvalue,Top_5_Overlap
AAPL,0.05,0.5142857142857142,0.0498392334714206,0.4
AAPL,0.1,0.3285714285714285,0.23180969720615974,0.4
AAPL,0.2,0.3428571428571428,0.2109237934147519,0.4
AAPL,0.3,0.1714285714285714,0.5412721760996332,0.4
MSFT,0.05,0.6535714285714285,0.008230371463638968,0.4
MSFT,0.1,0.5642857142857142,0.028432522148708554,0.4
MSFT,0.2,0.48214285714285704,0.06874953772064368,0.4
MSFT,0.3,0.5214285714285714,0.04621923447857304,0.4
NVDA,0.05,0.9678571428571429,3.596535540931579e-09,0.8
NVDA,0.1,0.9178571428571428,1.4176968515006281e-06,0.6
NVDA,0.2,0.7964285714285713,0.0003804676785346337,0.6
NVDA,0.3,0.7249999999999999,0.0022270323137542143,0.6
