Model,Split,Precision,Recall,F1_Score,Avg_Time_To_Detection,Event_Detection_Rate,Predicted_Anomalies,True_Anomalies,TN,FP,FN,TP
Isolation Forest,Validation,0.04482758620689655,0.14444444444444443,0.06842105263157895,0.5,0.26666666666666666,290,90,4883,277,77,13
Isolation Forest,Test,0.1891891891891892,0.3888888888888889,0.2545454545454545,0.3125,0.5333333333333333,185,90,5020,150,55,35
Isolation Forest,HeldOut,0.10105263157894737,0.26666666666666666,0.1465648854961832,0.375,0.4,475,180,9903,427,132,48
Autoencoder,Validation,0.11131386861313869,0.6777777777777778,0.19122257053291536,0.047619047619047616,0.7,548,90,4673,487,29,61
Autoencoder,Test,0.09004739336492891,0.8444444444444444,0.16274089935760172,0.0,0.9333333333333333,844,90,4402,768,14,76
Autoencoder,HeldOut,0.09841954022988506,0.7611111111111111,0.1743002544529262,0.02040816326530612,0.8166666666666667,1392,180,9075,1255,43,137
One-Class SVM,Validation,0.07317073170731707,1.0,0.13636363636363635,0.0,1.0,1230,90,4020,1140,0,90
One-Class SVM,Test,0.06280875088214538,0.9888888888888889,0.11811546118115461,0.0,1.0,1417,90,3842,1328,1,89
One-Class SVM,HeldOut,0.06762372497166604,0.9944444444444445,0.1266360099044924,0.0,1.0,2647,180,7862,2468,1,179
