Model,Split,Accuracy,Precision,Recall,F1_Score,ROC_AUC,TN,FP,FN,TP,Predicted_Events,True_Events
Logistic Regression,Test,0.4777142857142857,0.2354391371340524,0.7453658536585366,0.3578454332552693,0.6116382739212006,1744,2481,261,764,3245,1025
Random Forest,Test,0.8051428571428572,0.6,0.005853658536585366,0.011594202898550725,0.5487772550151536,4221,4,1019,6,10,1025
Gradient Boosting Fallback,Test,0.7767619047619048,0.23076923076923078,0.06146341463414634,0.0970724191063174,0.5444652908067542,4015,210,962,63,273,1025
