Perturbation_Level,Ensemble_Label_Flips,Ensemble_Jaccard,Ensemble_Robustness_Score
0.05,4515,0.08007334963325183,0.14163498098859317
0.1,4842,0.07524828113063407,0.07946768060836507
0.2,4865,0.07491918615706408,0.07509505703422048
0.3,4866,0.07490494296577947,0.07490494296577943
