Model,Scenario,Baseline_F1,Stressed_F1,F1_Drop,Baseline_ROC_AUC,Stressed_ROC_AUC,AUC_Drop,Prediction_Flips,Robustness
Logistic Regression,Price Spike,0.3578454332552693,0.3484708063021316,0.009374626953137677,0.6116382739212006,0.6079491990186174,0.0036890749025831893,1125,0.7857142857142857
Logistic Regression,Volume Shock,0.3578454332552693,0.3551617873651772,0.0026836458900921234,0.6116382739212006,0.6112604993505556,0.0003777745706450286,922,0.8243809523809524
Logistic Regression,Volatility Shock,0.3578454332552693,0.3457051961823966,0.012140237072872706,0.6116382739212006,0.6214800404098715,-0.009841766488670856,1388,0.7356190476190476
Random Forest,Price Spike,0.011594202898550725,0.0,0.011594202898550725,0.5487772550151536,0.5309741665463992,0.017803088468754447,10,0.9980952380952381
Random Forest,Volume Shock,0.011594202898550725,0.0038948393378773127,0.007699363560673412,0.5487772550151536,0.5438525616972145,0.0049246933179390995,8,0.9984761904761905
Random Forest,Volatility Shock,0.011594202898550725,0.027149321266968326,-0.015555118368417602,0.5487772550151536,0.5570687833742243,-0.008291528359070655,90,0.9828571428571429
Gradient Boosting Fallback,Price Spike,0.0970724191063174,0.2314410480349345,-0.13436862892861712,0.5444652908067542,0.49531695771395584,0.04914833309279837,1484,0.7173333333333334
Gradient Boosting Fallback,Volume Shock,0.0970724191063174,0.12200435729847495,-0.02493193819215754,0.5444652908067542,0.5466744407562418,-0.002209149949487621,215,0.959047619047619
Gradient Boosting Fallback,Volatility Shock,0.0970724191063174,0.22033898305084745,-0.12326656394453005,0.5444652908067542,0.5693199018617405,-0.02485461105498632,724,0.8620952380952381
