Model,Event_ID,Split,Ticker,Scenario,Detected,Time_To_Detection
One-Class SVM,Validation_AMZN_3,Validation,AMZN,Volatility Shock,1,0.0
One-Class SVM,Validation_GS_1,Validation,GS,Price Spike,1,0.0
One-Class SVM,Validation_GS_2,Validation,GS,Volume Shock,1,0.0
One-Class SVM,Validation_GS_3,Validation,GS,Volatility Shock,1,0.0
One-Class SVM,Validation_JPM_1,Validation,JPM,Price Spike,1,0.0
One-Class SVM,Validation_JPM_2,Validation,JPM,Volume Shock,1,0.0
One-Class SVM,Validation_JPM_3,Validation,JPM,Volatility Shock,1,0.0
One-Class SVM,Validation_KO_1,Validation,KO,Price Spike,1,0.0
One-Class SVM,Validation_KO_2,Validation,KO,Volume Shock,1,0.0
One-Class SVM,Validation_KO_3,Validation,KO,Volatility Shock,1,0.0
One-Class SVM,Validation_MSFT_1,Validation,MSFT,Price Spike,1,0.0
One-Class SVM,Validation_MSFT_2,Validation,MSFT,Volume Shock,1,0.0
One-Class SVM,Validation_MSFT_3,Validation,MSFT,Volatility Shock,1,0.0
One-Class SVM,Validation_NVDA_1,Validation,NVDA,Price Spike,1,0.0
One-Class SVM,Validation_NVDA_2,Validation,NVDA,Volume Shock,1,0.0
One-Class SVM,Validation_NVDA_3,Validation,NVDA,Volatility Shock,1,0.0
One-Class SVM,Validation_QQQ_1,Validation,QQQ,Price Spike,1,0.0
One-Class SVM,Validation_QQQ_2,Validation,QQQ,Volume Shock,1,0.0
One-Class SVM,Validation_QQQ_3,Validation,QQQ,Volatility Shock,1,0.0
One-Class SVM,Validation_SPY_1,Validation,SPY,Price Spike,1,0.0
One-Class SVM,Validation_SPY_2,Validation,SPY,Volume Shock,1,0.0
One-Class SVM,Validation_SPY_3,Validation,SPY,Volatility Shock,1,0.0
One-Class SVM,Validation_XOM_1,Validation,XOM,Price Spike,1,0.0
One-Class SVM,Validation_XOM_2,Validation,XOM,Volume Shock,1,0.0
One-Class SVM,Validation_XOM_3,Validation,XOM,Volatility Shock,1,0.0
